name,type_of_meteorite,mass_g,fell_found,year,database,coordinate_1,coordinates_2,cartodb_id,created_at,updated_at,year_date,long,lat,geojson
Deal,L6,28,Fell,1829,http://www.lpi.usra.edu/meteor/metbull.php?code=6634,40.25,-74,16468,56:02.8,11:51.9,1829-01-01 00:00:00,-74,40.25,"{""type"":""Point"",""coordinates"":[-74,40.25]}"
Delhi,L5,0.8,Fell,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=6642,28.56667,77.25,32770,56:02.8,11:51.9,1897-01-01 00:00:00,77.25,28.56667,"{""type"":""Point"",""coordinates"":[77.25,28.56667]}"
Demina,L6,16400,Fell,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=6649,51.46667,84.76667,916,56:02.8,11:51.9,1/1/1911 0:00,84.76667,51.46667,"{""type"":""Point"",""coordinates"":[84.76667,51.46667]}"
Denver,L6,230,Fell,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=6660,39.7825,-104.93056,7579,56:02.8,11:51.9,1/1/1967 0:00,-104.93056,39.7825,"{""type"":""Point"",""coordinates"":[-104.93056,39.7825]}"
Dergaon,H5,12500,Fell,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=6664,26.68333,93.86667,1079,56:02.8,11:51.9,1/1/2001 0:00,93.86667,26.68333,"{""type"":""Point"",""coordinates"":[93.86667,26.68333]}"
Desuri,H6,25400,Fell,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=6693,25.73333,73.61667,687,56:02.8,11:51.9,1/1/1962 0:00,73.61667,25.73333,"{""type"":""Point"",""coordinates"":[73.61667,25.73333]}"
Devgaon,H3.8,12000,Fell,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=6694,19,81,1109,56:02.8,11:51.9,1/1/2001 0:00,81,19,"{""type"":""Point"",""coordinates"":[81,19]}"
Devri-Khera,L6,1140,Fell,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=6696,24.225,76.525,3557,56:02.8,11:51.9,1/1/1994 0:00,76.525,24.225,"{""type"":""Point"",""coordinates"":[76.525,24.225]}"
Dhajala,H3.8,45000,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=6698,22.37778,71.42722,471,56:02.8,11:51.9,1/1/1976 0:00,71.42722,22.37778,"{""type"":""Point"",""coordinates"":[71.42722,22.37778]}"
Dharwar,OC,1800,Fell,1848,http://www.lpi.usra.edu/meteor/metbull.php?code=6699,14.88333,75.6,2870,56:02.8,11:51.9,1848-01-01 00:00:00,75.6,14.88333,"{""type"":""Point"",""coordinates"":[75.6,14.88333]}"
Dhurmsala,LL6,32000,Fell,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=7640,32.23333,76.46667,589,56:02.8,11:51.9,1860-01-01 00:00:00,76.46667,32.23333,"{""type"":""Point"",""coordinates"":[76.46667,32.23333]}"
Didim,H3-5,3396,Fell,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=47350,37.35172,27.32997,2144,56:02.8,11:51.9,1/1/2007 0:00,27.32997,37.35172,"{""type"":""Point"",""coordinates"":[27.32997,37.35172]}"
Diep River,L6,1000,Fell,1906,http://www.lpi.usra.edu/meteor/metbull.php?code=7642,-33.75,18.56667,3781,56:02.8,11:51.9,1/1/1906 0:00,18.56667,-33.75,"{""type"":""Point"",""coordinates"":[18.56667,-33.75]}"
Distrito Quebracho,H4,400,Fell,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=7649,-31.88333,-60.46667,5833,56:02.8,11:51.9,1/1/1957 0:00,-60.46667,-31.88333,"{""type"":""Point"",""coordinates"":[-60.46667,-31.88333]}"
Djati-Pengilon,H6,166000,Fell,1884,http://www.lpi.usra.edu/meteor/metbull.php?code=7652,-7.5,111.5,176,56:02.8,11:51.9,1884-01-01 00:00:00,111.5,-7.5,"{""type"":""Point"",""coordinates"":[111.5,-7.5]}"
Djermaia,H,3950,Fell,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=7656,12.73333,15.05,1979,56:02.8,11:51.9,1/1/1961 0:00,15.05,12.73333,"{""type"":""Point"",""coordinates"":[15.05,12.73333]}"
Djoumine,H5-6,10000,Fell,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=7657,36.95,9.55,1233,56:02.8,11:51.9,1/1/1999 0:00,9.55,36.95,"{""type"":""Point"",""coordinates"":[9.55,36.95]}"
Dokachi,H5,3840,Fell,1903,http://www.lpi.usra.edu/meteor/metbull.php?code=7658,23.5,90.33333,2004,56:02.8,11:51.9,1/1/1903 0:00,90.33333,23.5,"{""type"":""Point"",""coordinates"":[90.33333,23.5]}"
Dolgovoli,L6,1600,Fell,1864,http://www.lpi.usra.edu/meteor/metbull.php?code=7659,50.75,25.3,3017,56:02.8,11:51.9,1864-01-01 00:00:00,25.3,50.75,"{""type"":""Point"",""coordinates"":[25.3,50.75]}"
Domanitch,L5,438,Fell,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=7661,40,29,5573,56:02.8,11:51.9,1/1/1907 0:00,29,40,"{""type"":""Point"",""coordinates"":[29,40]}"
Dong Ujimqin Qi,Mesosiderite,128800,Fell,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=7706,45.5,119.03333,220,56:02.8,11:51.9,1/1/1995 0:00,119.03333,45.5,"{""type"":""Point"",""coordinates"":[119.03333,45.5]}"
Donga Kohrod,H6,230,Fell,1899,http://www.lpi.usra.edu/meteor/metbull.php?code=7707,21.86667,82.45,7576,56:02.8,11:51.9,1899-01-01 00:00:00,82.45,21.86667,"{""type"":""Point"",""coordinates"":[82.45,21.86667]}"
Dongtai,LL6,5500,Fell,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=7708,32.91667,120.78333,1661,56:02.8,11:51.9,1/1/1970 0:00,120.78333,32.91667,"{""type"":""Point"",""coordinates"":[120.78333,32.91667]}"
Dordrecht (iron),Doubtful meteorite,0,Fell,1650,http://www.lpi.usra.edu/meteor/metbull.php?code=7715,51.8,4.65,34281,56:02.8,11:51.9,1650-01-01 00:00:00,4.65,51.8,"{""type"":""Point"",""coordinates"":[4.65,51.8]}"
Dordrecht (stone),Doubtful meteorite,0,Fell,1808,http://www.lpi.usra.edu/meteor/metbull.php?code=7716,51.8,4.65,34305,56:02.8,11:51.9,1808-01-01 00:00:00,4.65,51.8,"{""type"":""Point"",""coordinates"":[4.65,51.8]}"
Doroninsk,H5-7,3891,Fell,1805,http://www.lpi.usra.edu/meteor/metbull.php?code=7718,51.2,112.3,1992,56:02.8,11:51.9,1805-01-01 00:00:00,112.3,51.2,"{""type"":""Point"",""coordinates"":[112.3,51.2]}"
Dorpat,Doubtful meteorite,0,Fell,1704,http://www.lpi.usra.edu/meteor/metbull.php?code=7719,58.4,26.6,34289,56:02.8,11:51.9,1704-01-01 00:00:00,26.6,58.4,"{""type"":""Point"",""coordinates"":[26.6,58.4]}"
Dosso,L6,1250,Fell,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=7722,13.05,3.16667,3408,56:02.8,11:51.9,1/1/1962 0:00,3.16667,13.05,"{""type"":""Point"",""coordinates"":[3.16667,13.05]}"
Douar Mghila,LL6,1161,Fell,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=7723,32.33333,-6.3,3533,56:02.8,11:51.9,1/1/1932 0:00,-6.3,32.33333,"{""type"":""Point"",""coordinates"":[-6.3,32.33333]}"
Dowa,Stone-uncl,642,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=7725,-13.66667,33.91667,4668,56:02.8,11:51.9,1/1/1976 0:00,33.91667,-13.66667,"{""type"":""Point"",""coordinates"":[33.91667,-13.66667]}"
Drake Creek,L6,5000,Fell,1827,http://www.lpi.usra.edu/meteor/metbull.php?code=7728,36.4,-86.5,1730,56:02.8,11:51.9,1827-01-01 00:00:00,-86.5,36.4,"{""type"":""Point"",""coordinates"":[-86.5,36.4]}"
Dresden (Ontario),H6,47700,Fell,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=7731,42.52,-82.26,449,56:02.8,11:51.9,1/1/1939 0:00,-82.26,42.52,"{""type"":""Point"",""coordinates"":[-82.26,42.52]}"
Dubrovnik,L3-6,1900,Fell,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=7736,42.45833,18.44167,2803,56:02.8,11:51.9,1/1/1951 0:00,18.44167,42.45833,"{""type"":""Point"",""coordinates"":[18.44167,42.45833]}"
Dunbogan,L6,30,Fell,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=7743,-31.66667,152.83333,16137,56:02.8,11:51.9,1/1/1999 0:00,152.83333,-31.66667,"{""type"":""Point"",""coordinates"":[152.83333,-31.66667]}"
Dundrum,H5,2270,Fell,1865,http://www.lpi.usra.edu/meteor/metbull.php?code=7745,52.55,-8.03333,2568,56:02.8,11:51.9,1865-01-01 00:00:00,-8.03333,52.55,"{""type"":""Point"",""coordinates"":[-8.03333,52.55]}"
Dunhua,Stone-uncl,0,Fell,1976,http://www.lpi.usra.edu/meteor/metbull.php?code=7749,43.33333,128.25,34392,56:02.8,11:51.9,1/1/1976 0:00,128.25,43.33333,"{""type"":""Point"",""coordinates"":[128.25,43.33333]}"
Durala,L6,13200,Fell,1815,http://www.lpi.usra.edu/meteor/metbull.php?code=7750,30.3,76.63333,1036,56:02.8,11:51.9,1815-01-01 00:00:00,76.63333,30.3,"{""type"":""Point"",""coordinates"":[76.63333,30.3]}"
Duruma,L6,577,Fell,1853,http://www.lpi.usra.edu/meteor/metbull.php?code=7752,-4,39.5,4916,56:02.8,11:51.9,1853-01-01 00:00:00,39.5,-4,"{""type"":""Point"",""coordinates"":[39.5,-4]}"
Duwun,L6,2117,Fell,1943,http://www.lpi.usra.edu/meteor/metbull.php?code=7754,33.43333,127.26667,2649,56:02.8,11:51.9,1/1/1943 0:00,127.26667,33.43333,"{""type"":""Point"",""coordinates"":[127.26667,33.43333]}"
Dwaleni,H4-6,3230,Fell,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=7755,-27.2,31.31667,2180,56:02.8,11:51.9,1/1/1970 0:00,31.31667,-27.2,"{""type"":""Point"",""coordinates"":[31.31667,-27.2]}"
Dyalpur,Ureilite,300,Fell,1872,http://www.lpi.usra.edu/meteor/metbull.php?code=7757,26.25,82,6706,56:02.8,11:51.9,1872-01-01 00:00:00,82,26.25,"{""type"":""Point"",""coordinates"":[82,26.25]}"
Dyarrl Island,Mesosiderite-A1,188,Fell,1933,http://www.lpi.usra.edu/meteor/metbull.php?code=7758,-3,151,8285,56:02.8,11:51.9,1/1/1933 0:00,151,-3,"{""type"":""Point"",""coordinates"":[151,-3]}"
Eagle,EL6,10000,Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=7760,40.78167,-96.47167,1221,56:02.8,11:51.9,1/1/1947 0:00,-96.47167,40.78167,"{""type"":""Point"",""coordinates"":[-96.47167,40.78167]}"
East Norton,Doubtful meteorite,0,Fell,1803,http://www.lpi.usra.edu/meteor/metbull.php?code=7763,52.55,-0.83333,34303,56:02.8,11:51.9,1803-01-01 00:00:00,-0.83333,52.55,"{""type"":""Point"",""coordinates"":[-0.83333,52.55]}"
Eaton,Pseudometeorite,29.5,Fell,1931,http://www.lpi.usra.edu/meteor/metbull.php?code=7765,40.51667,-104.68333,16215,56:02.8,11:51.9,1/1/1931 0:00,-104.68333,40.51667,"{""type"":""Point"",""coordinates"":[-104.68333,40.51667]}"
Ehole,H5,2400,Fell,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=7774,-17.3,15.83333,2505,56:02.8,11:51.9,1/1/1961 0:00,15.83333,-17.3,"{""type"":""Point"",""coordinates"":[15.83333,-17.3]}"
Eichst�_dt,H5,3000,Fell,1785,http://www.lpi.usra.edu/meteor/metbull.php?code=7775,48.9,11.21667,2252,56:02.8,11:51.9,1785-01-01 00:00:00,11.21667,48.9,"{""type"":""Point"",""coordinates"":[11.21667,48.9]}"
Ekeby,H4,3336,Fell,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=7776,56.03333,13,2154,56:02.8,11:51.9,1/1/1939 0:00,13,56.03333,"{""type"":""Point"",""coordinates"":[13,56.03333]}"
Ekh Khera,H6,840,Fell,1916,http://www.lpi.usra.edu/meteor/metbull.php?code=7777,28.26667,78.78333,4133,56:02.8,11:51.9,1/1/1916 0:00,78.78333,28.26667,"{""type"":""Point"",""coordinates"":[78.78333,28.26667]}"
El Idrissia,L6,10000,Fell,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=7807,34.41667,3.25,1231,56:02.8,11:51.9,1/1/1989 0:00,3.25,34.41667,"{""type"":""Point"",""coordinates"":[3.25,34.41667]}"
El Marplatense,Pseudometeorite,0,Fell,,http://www.lpi.usra.edu/meteor/metbull.php?code=7808,-37.98333,-57.63333,34506,56:02.8,11:18.6,,-57.63333,-37.98333,"{""type"":""Point"",""coordinates"":[-57.63333,-37.98333]}"
El Paso de Aguila,H5,17226,Fell,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=45977,25.37,-97.37,883,56:02.8,11:51.9,1/1/1977 0:00,-97.37,25.37,"{""type"":""Point"",""coordinates"":[-97.37,25.37]}"
El Tigre,L6,5000,Fell,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=7819,19.96722,-103.05167,1748,56:02.8,11:51.9,1/1/1993 0:00,-103.05167,19.96722,"{""type"":""Point"",""coordinates"":[-103.05167,19.96722]}"
Elbert,LL6,680.5,Fell,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=7822,39.24667,-104.58817,4555,56:02.8,11:51.9,1/1/1998 0:00,-104.58817,39.24667,"{""type"":""Point"",""coordinates"":[-104.58817,39.24667]}"
Elbogen,"Iron, IID",107000,Fell,1400,http://www.lpi.usra.edu/meteor/metbull.php?code=7823,50.18333,12.73333,246,56:02.8,11:51.9,1400-01-01 00:00:00,12.73333,50.18333,"{""type"":""Point"",""coordinates"":[12.73333,50.18333]}"
Elenovka,L5,54640,Fell,1951,http://www.lpi.usra.edu/meteor/metbull.php?code=7824,47.83333,37.66667,395,56:02.8,11:51.9,1/1/1951 0:00,37.66667,47.83333,"{""type"":""Point"",""coordinates"":[37.66667,47.83333]}"
Ellemeet,Diogenite,1470,Fell,1925,http://www.lpi.usra.edu/meteor/metbull.php?code=10019,51.75,4,3155,56:02.8,11:51.9,1/1/1925 0:00,4,51.75,"{""type"":""Point"",""coordinates"":[4,51.75]}"
Emmaville,Eucrite-mmict,127,Fell,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10033,-29.46667,151.61667,9722,56:02.8,11:51.9,1/1/1900 0:00,151.61667,-29.46667,"{""type"":""Point"",""coordinates"":[151.61667,-29.46667]}"
Enshi,H5,8000,Fell,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=10038,30.3,109.5,1378,56:02.8,11:51.9,1/1/1974 0:00,109.5,30.3,"{""type"":""Point"",""coordinates"":[109.5,30.3]}"
Ensisheim,LL6,127000,Fell,1492,http://www.lpi.usra.edu/meteor/metbull.php?code=10039,47.86667,7.35,223,56:02.8,11:51.9,1492-01-01 00:00:00,7.35,47.86667,"{""type"":""Point"",""coordinates"":[7.35,47.86667]}"
Erakot,CM2,113,Fell,1940,http://www.lpi.usra.edu/meteor/metbull.php?code=10042,19.03333,81.89167,10185,56:02.8,11:51.9,1/1/1940 0:00,81.89167,19.03333,"{""type"":""Point"",""coordinates"":[81.89167,19.03333]}"
Erevan,Howardite,107.2,Fell,1911,http://www.lpi.usra.edu/meteor/metbull.php?code=10043,40.3,44.5,10395,56:02.8,11:51.9,1/1/1911 0:00,44.5,40.3,"{""type"":""Point"",""coordinates"":[44.5,40.3]}"
Ergheo,L5,20000,Fell,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10044,1.16667,44.16667,792,56:02.8,11:51.9,1889-01-01 00:00:00,44.16667,1.16667,"{""type"":""Point"",""coordinates"":[44.16667,1.16667]}"
Ermendorf,Doubtful stone,0,Fell,1677,http://www.lpi.usra.edu/meteor/metbull.php?code=10047,51.3,13.55,34286,56:02.8,11:51.9,1677-01-01 00:00:00,13.55,51.3,"{""type"":""Point"",""coordinates"":[13.55,51.3]}"
Erxleben,H6,2250,Fell,1812,http://www.lpi.usra.edu/meteor/metbull.php?code=10049,52.21667,11.25,2573,56:02.8,11:51.9,1812-01-01 00:00:00,11.25,52.21667,"{""type"":""Point"",""coordinates"":[11.25,52.21667]}"
Esnandes,L6,1500,Fell,1837,http://www.lpi.usra.edu/meteor/metbull.php?code=10051,46.25,-1.1,3112,56:02.8,11:51.9,1837-01-01 00:00:00,-1.1,46.25,"{""type"":""Point"",""coordinates"":[-1.1,46.25]}"
Essebi,C2-ung,500,Fell,1957,http://www.lpi.usra.edu/meteor/metbull.php?code=10055,2.88333,30.83333,5227,56:02.8,11:51.9,1/1/1957 0:00,30.83333,2.88333,"{""type"":""Point"",""coordinates"":[30.83333,2.88333]}"
Estherville,Mesosiderite-A3/4,320000,Fell,1879,http://www.lpi.usra.edu/meteor/metbull.php?code=10059,43.41667,-94.83333,107,56:02.8,11:51.9,1879-01-01 00:00:00,-94.83333,43.41667,"{""type"":""Point"",""coordinates"":[-94.83333,43.41667]}"
Fabriano,Doubtful stone,0,Fell,1776,http://www.lpi.usra.edu/meteor/metbull.php?code=10067,43.31667,12.93333,34298,56:02.8,11:51.9,1776-01-01 00:00:00,12.93333,43.31667,"{""type"":""Point"",""coordinates"":[12.93333,43.31667]}"
Farmington,L5,89400,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10074,39.75,-97.03333,295,56:02.8,11:51.9,1890-01-01 00:00:00,-97.03333,39.75,"{""type"":""Point"",""coordinates"":[-97.03333,39.75]}"
Farmville,H4,56000,Fell,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=10075,35.55,-77.53333,389,56:02.8,11:51.9,1/1/1934 0:00,-77.53333,35.55,"{""type"":""Point"",""coordinates"":[-77.53333,35.55]}"
Favars,H5,1500,Fell,1844,http://www.lpi.usra.edu/meteor/metbull.php?code=10078,44.38333,2.81667,3114,56:02.8,11:51.9,1844-01-01 00:00:00,2.81667,44.38333,"{""type"":""Point"",""coordinates"":[2.81667,44.38333]}"
Fayetteville,H4,2360,Fell,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=10079,36.05,-94.16667,2523,56:02.8,11:51.9,1/1/1934 0:00,-94.16667,36.05,"{""type"":""Point"",""coordinates"":[-94.16667,36.05]}"
Feid Chair,H4,380,Fell,1875,http://www.lpi.usra.edu/meteor/metbull.php?code=10080,36.88333,8.45,6001,56:02.8,11:51.9,1875-01-01 00:00:00,8.45,36.88333,"{""type"":""Point"",""coordinates"":[8.45,36.88333]}"
Felix,CO3.3,3200,Fell,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10081,32.53333,-87.16667,2191,56:02.8,11:51.9,1/1/1900 0:00,-87.16667,32.53333,"{""type"":""Point"",""coordinates"":[-87.16667,32.53333]}"
Fenghsien-Ku,H5,82,Fell,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=10086,34.6,116.75,11508,56:02.8,11:51.9,1/1/1924 0:00,116.75,34.6,"{""type"":""Point"",""coordinates"":[116.75,34.6]}"
Ferguson,OC,220,Fell,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=10088,36.1,-81.41667,7725,56:02.8,11:51.9,1889-01-01 00:00:00,-81.41667,36.1,"{""type"":""Point"",""coordinates"":[-81.41667,36.1]}"
Fermo,H3-5,10200,Fell,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=10091,43.18111,13.75333,1204,56:02.8,11:51.9,1/1/1996 0:00,13.75333,43.18111,"{""type"":""Point"",""coordinates"":[13.75333,43.18111]}"
Ferrette,Doubtful stone,4300,Fell,1947,http://www.lpi.usra.edu/meteor/metbull.php?code=10092,47.5,7.31667,1878,56:02.8,11:51.9,1/1/1947 0:00,7.31667,47.5,"{""type"":""Point"",""coordinates"":[7.31667,47.5]}"
F�_nen,Stone-uncl,0,Fell,1654,http://www.lpi.usra.edu/meteor/metbull.php?code=10838,55.33333,10.33333,34282,56:02.8,11:51.9,1654-01-01 00:00:00,10.33333,55.33333,"{""type"":""Point"",""coordinates"":[10.33333,55.33333]}"
Fisher,L6,17600,Fell,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=10107,47.81667,-96.85,873,56:02.8,11:51.9,1894-01-01 00:00:00,-96.85,47.81667,"{""type"":""Point"",""coordinates"":[-96.85,47.81667]}"
Florence,H3,3640,Fell,1922,http://www.lpi.usra.edu/meteor/metbull.php?code=10111,30.83333,-97.76667,2057,56:02.8,11:51.9,1/1/1922 0:00,-97.76667,30.83333,"{""type"":""Point"",""coordinates"":[-97.76667,30.83333]}"
Forest City,H5,152000,Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10119,43.25,-93.66667,186,56:02.8,11:51.9,1890-01-01 00:00:00,-93.66667,43.25,"{""type"":""Point"",""coordinates"":[-93.66667,43.25]}"
Forest Vale,H4,26000,Fell,1942,http://www.lpi.usra.edu/meteor/metbull.php?code=10120,-33.35,146.85833,678,56:02.8,11:51.9,1/1/1942 0:00,146.85833,-33.35,"{""type"":""Point"",""coordinates"":[146.85833,-33.35]}"
Forksville,L6,6067,Fell,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=10123,36.78333,-78.08333,1578,56:02.8,11:51.9,1/1/1924 0:00,-78.08333,36.78333,"{""type"":""Point"",""coordinates"":[-78.08333,36.78333]}"
Forsbach,H6,240,Fell,1900,http://www.lpi.usra.edu/meteor/metbull.php?code=10163,50.95,7.31667,7409,56:02.8,11:51.9,1/1/1900 0:00,7.31667,50.95,"{""type"":""Point"",""coordinates"":[7.31667,50.95]}"
Forsyth,L6,16300,Fell,1829,http://www.lpi.usra.edu/meteor/metbull.php?code=10164,33.01667,-83.96667,919,56:02.8,11:51.9,1829-01-01 00:00:00,-83.96667,33.01667,"{""type"":""Point"",""coordinates"":[-83.96667,33.01667]}"
Fort Flatters,Stone-uncl,0,Fell,1944,http://www.lpi.usra.edu/meteor/metbull.php?code=10166,28.25,7,34365,56:02.8,11:51.9,1/1/1944 0:00,7,28.25,"{""type"":""Point"",""coordinates"":[7,28.25]}"
Frankfort (stone),Howardite,650,Fell,1868,http://www.lpi.usra.edu/meteor/metbull.php?code=10177,34.48333,-87.83333,4647,56:02.8,11:51.9,1868-01-01 00:00:00,-87.83333,34.48333,"{""type"":""Point"",""coordinates"":[-87.83333,34.48333]}"
Fuhe,L5,23000,Fell,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=52412,31.47556,113.56694,733,56:02.8,11:51.9,1/1/1945 0:00,113.56694,31.47556,"{""type"":""Point"",""coordinates"":[113.56694,31.47556]}"
Fukutomi,L5,11620,Fell,1882,http://www.lpi.usra.edu/meteor/metbull.php?code=10836,33.18333,130.2,1126,56:02.8,11:51.9,1882-01-01 00:00:00,130.2,33.18333,"{""type"":""Point"",""coordinates"":[130.2,33.18333]}"
Futtehpur,L6,4000,Fell,1822,http://www.lpi.usra.edu/meteor/metbull.php?code=10839,25.95,80.81667,1945,56:02.8,11:51.9,1822-01-01 00:00:00,80.81667,25.95,"{""type"":""Point"",""coordinates"":[80.81667,25.95]}"
Fuyang,Stone-uncl,2500,Fell,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=10840,32.9,115.9,2455,56:02.8,11:51.9,1/1/1977 0:00,115.9,32.9,"{""type"":""Point"",""coordinates"":[115.9,32.9]}"
Gaj,Doubtful meteorite,0,Fell,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=10845,52.52639,21.42917,34345,56:02.8,11:51.9,1/1/1927 0:00,21.42917,52.52639,"{""type"":""Point"",""coordinates"":[21.42917,52.52639]}"
Galapian,H6,132.7,Fell,1826,http://www.lpi.usra.edu/meteor/metbull.php?code=10846,44.3,0.4,9527,56:02.8,11:51.9,1826-01-01 00:00:00,0.4,44.3,"{""type"":""Point"",""coordinates"":[0.4,44.3]}"
Galim (a),LL6,36.1,Fell,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=10848,7.05,12.43333,15241,56:02.8,11:51.9,1/1/1952 0:00,12.43333,7.05,"{""type"":""Point"",""coordinates"":[12.43333,7.05]}"
Galim (b),EH3/4-an,28,Fell,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=10849,7.05,12.43333,16469,56:02.8,11:51.9,1/1/1952 0:00,12.43333,7.05,"{""type"":""Point"",""coordinates"":[12.43333,7.05]}"
Galkiv,H4,5000,Fell,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=10850,51.68333,30.78333,1749,56:02.8,11:51.9,1/1/1995 0:00,30.78333,51.68333,"{""type"":""Point"",""coordinates"":[30.78333,51.68333]}"
Gambat,L6,6400,Fell,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=10851,27.35,68.53333,1544,56:02.8,11:51.9,1897-01-01 00:00:00,68.53333,27.35,"{""type"":""Point"",""coordinates"":[68.53333,27.35]}"
Gao (Mali),Doubtful meteorite,0,Fell,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=10853,16.3,0,34354,56:02.8,11:51.9,1/1/1932 0:00,0,16.3,"{""type"":""Point"",""coordinates"":[0,16.3]}"
Gao-Guenie,H5,0,Fell,1960,http://www.lpi.usra.edu/meteor/metbull.php?code=10854,11.65,-2.18333,34380,56:02.8,11:51.9,1/1/1960 0:00,-2.18333,11.65,"{""type"":""Point"",""coordinates"":[-2.18333,11.65]}"
Garhi Yasin,"Iron, IIE",380,Fell,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=10860,27.88333,68.53333,6002,56:02.8,11:51.9,1/1/1917 0:00,68.53333,27.88333,"{""type"":""Point"",""coordinates"":[68.53333,27.88333]}"
Garland,Diogenite-pm,102,Fell,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=10861,41.68333,-112.13333,10608,56:02.8,11:51.9,1/1/1950 0:00,-112.13333,41.68333,"{""type"":""Point"",""coordinates"":[-112.13333,41.68333]}"
Gashua,L6,4162,Fell,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=44882,12.85,11.03333,1908,56:02.8,11:51.9,1/1/1984 0:00,11.03333,12.85,"{""type"":""Point"",""coordinates"":[11.03333,12.85]}"
Gasseltepaoua,H5,0,Fell,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=10866,14.15083,-2.04167,34461,56:02.8,11:51.9,1/1/2000 0:00,-2.04167,14.15083,"{""type"":""Point"",""coordinates"":[-2.04167,14.15083]}"
Gdynia,Doubtful meteorite,0,Fell,1959,http://www.lpi.usra.edu/meteor/metbull.php?code=10869,54.58333,18.66667,34378,56:02.8,11:51.9,1/1/1959 0:00,18.66667,54.58333,"{""type"":""Point"",""coordinates"":[18.66667,54.58333]}"
Geidam,H5,725,Fell,1950,http://www.lpi.usra.edu/meteor/metbull.php?code=10870,12.91667,11.91667,4412,56:02.8,11:51.9,1/1/1950 0:00,11.91667,12.91667,"{""type"":""Point"",""coordinates"":[11.91667,12.91667]}"
G�_tersloh,H3/4,1000,Fell,1851,http://www.lpi.usra.edu/meteor/metbull.php?code=11466,51.91667,8.38333,3775,56:02.8,11:51.9,1851-01-01 00:00:00,8.38333,51.91667,"{""type"":""Point"",""coordinates"":[8.38333,51.91667]}"
Gifu,L6,14290,Fell,1909,http://www.lpi.usra.edu/meteor/metbull.php?code=10914,35.53333,136.88333,991,56:02.8,11:51.9,1/1/1909 0:00,136.88333,35.53333,"{""type"":""Point"",""coordinates"":[136.88333,35.53333]}"
Girgenti,L6,18000,Fell,1853,http://www.lpi.usra.edu/meteor/metbull.php?code=10917,37.31667,13.56667,853,56:02.8,11:51.9,1853-01-01 00:00:00,13.56667,37.31667,"{""type"":""Point"",""coordinates"":[13.56667,37.31667]}"
